game_title,description,genres
Portal 2,"Many years after ""Portal,"" Chell reawakens at Aperture Science and tries to stop GLaDOS once again with the help of Wheatley, who has his own plans for the historical facility.","['Artificial Intelligence', 'Adventure', 'Comedy', 'Sci-Fi']"
Metal Gear Solid 4: Guns of the Patriots,"When the nations of the world rely upon private military companies to fight their battles for them, renegade Liquid Ocelot emerges as the head of a potent coalition of mercenary powers. Solid Snake returns to save the world once again.","['Action', 'Adventure', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller', 'War']"
Persona 5 Royal,A group of high school students create a vigilante group to expose the crimes of corrupt adults but soon find themselves in the midst of a worldwide conspiracy and targeted by powerful individuals who would do anything to silence them.,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Romance']"
The Legend of Zelda: Breath of the Wild,"After a century of hibernation, Link reawakens to once again save a ruined Hyrule from a great evil.","['Adventure Epic', 'Quest', 'Action', 'Adventure', 'Fantasy', 'Sci-Fi']"
The Legend of Zelda: Tears of the Kingdom,"When Link and princess Zelda investigate Zonai ruins in a cave beneath the castle, they witness the awakening of a mummified Ganondorf, whose powers then corrupt Link's arm, after which Hyrule Castle is sent floating upward into the sky.","['Adventure Epic', 'Fantasy Epic', 'Supernatural Fantasy', 'Sword & Sandal', 'Action', 'Adventure', 'Fantasy', 'Mystery']"
Fallout 2: A Post-Nuclear Role-Playing Game,"In a post-nuclear future, the descendant of an ancient exiled hero must leave his tribe in search of the Garden of Eden Creation Kit, the last chance of survival for his people.","['Dystopian Sci-Fi', 'Action', 'Adventure', 'Sci-Fi']"
Chrono Trigger,"Crono, a young boy, is thrust to adventure by destiny to destroy an oncoming threat that will destroy the world in 1999.","['Action', 'Adventure', 'Fantasy', 'Mystery', 'Sci-Fi']"
Baldur's Gate II: Shadows of Amn,"Jon Irenicus, a sadistic secretive powerful mage bent on revenge, captures Gorion's ward and his/her party for a diabolical experiment.","['Action', 'Adventure', 'Fantasy']"
Bloodborne: The Old Hunters,"In this DLC for Bloodborne (2015), the player-Hunter is transported to the sinister Hunter's Nightmare, a demented place where hunters who become drunk with blood are sent to.","['Dark Fantasy', 'Action', 'Adventure', 'Fantasy', 'Horror', 'Sci-Fi']"
Alan Wake II,"13 years after bestselling writer Alan Wake went missing, a string of ritualistic murders occur in the town of Bright Falls, Washington. Saga Anderson, an FBI agent, is sent to Bright Falls to investigate the murders.","['Conspiracy Thriller', 'Folk Horror', 'Hard-boiled Detective', 'Monster Horror', 'Police Procedural', 'Psychological Drama', 'Psychological Horror', 'Psychological Thriller', 'Supernatural Horror', 'Suspense Mystery']"
The Elder Scrolls V: Skyrim,"After escaping execution, the last living Dragonborn must grow in strength and power to defeat the dragons that have once again begun to plague the land of Skyrim.","['Action', 'Adventure', 'Fantasy']"
Cyberpunk 2077: Phantom Liberty,Phantom Liberty is a new spy-thriller adventure for Cyberpunk 2077. Return as cyber-enhanced mercenary V and embark on a high-stakes mission of espionage and intrigue to save the NUS President.,"['Cyber Thriller', 'Cyberpunk', 'Dystopian Sci-Fi', 'Spy', 'Action', 'Adventure', 'Crime', 'Drama', 'Sci-Fi', 'Thriller']"
Resident Evil 4,"In this reimagining of the 2005 game, Leon Kennedy is sent on a mission to rescue the president's kidnapped daughter from a secluded European village where there is something terribly wrong with the locals.","['Slasher Horror', 'Supernatural Fantasy', 'Survival', 'Zombie Horror', 'Action', 'Adventure', 'Drama', 'Fantasy', 'Horror', 'Mystery']"
Uncharted 2: Among Thieves,"After being tracked down by Harry Flynn, Nathan Drake goes on a quest for Marco Polo's lost fleet. However when things take an unexpected turn for the worst, Drake must rely on those closest to him in order to find the Cintomani Stone.","['Action Epic', 'Mountain Adventure', 'Supernatural Fantasy', 'Action', 'Adventure', 'Fantasy', 'Horror', 'Mystery', 'Thriller']"
Bloodborne,"A hunter awakens in the plagued lands of Yharnam, where the denizens have succumbed to beasthood, in an attempt to learn the truth and how to end the plague, unbeknownst of the true horror lurking within the city.","['Body Horror', 'Action', 'Adventure', 'Fantasy', 'History', 'Horror', 'Sci-Fi', 'War']"
Kingdom Hearts II,"Sora and friends face mysterious new enemies as they continue their journey to save all worlds, and find Riku and King Mickey.","['Fantasy Epic', 'Action', 'Adventure', 'Family', 'Fantasy']"
The Last of Us Part II Remastered,"Five years after the events of The Last of Us, Ellie embarks on another journey through a post-apocalyptic America on a mission of vengeance against a mysterious militia.","['Contemporary Western', 'Dystopian Sci-Fi', 'Survival', 'Zombie Horror', 'Action', 'Adventure', 'Drama', 'Horror', 'Romance', 'Sci-Fi']"
Elden Ring: Shadow of the Erdtree,"In this DLC expansion for Elden Ring (2022), players step into the Land of Shadow to explore a new adventure full of mysteries and danger, to confront threatening bosses with new weapons and armor. Follow in the footsteps of Miquella and unravel the dark side of the Elden Ring st... Read all","['Action', 'Adventure', 'Fantasy', 'Horror']"
Split Fiction,"Embrace mind-blowing moments as you're pulled deep into the many worlds of Split Fiction, a boundary-pushing co-op adventure.","['Adventure', 'Fantasy', 'Sci-Fi']"
Astro Bot,"JOIN ASTRO IN A BRAND-NEW, SUPERSIZED SPACE ADVENTURE! The PS5® mothership has been wrecked, leaving ASTRO and the bot crew scattered all over the galaxies. Time to ride your trusty Dual Speeder across more than 50 planets full of fun, danger and surprises. On your journey, make ... Read all","['Space Sci-Fi', 'Adventure', 'Comedy', 'Family', 'Sci-Fi']"
Uncharted: The Nathan Drake Collection,"A remastered collection of Uncharted: Drake's Fortune (2007), Uncharted 2: Among Thieves (2009), and Uncharted 3: Drake's Deception (2011) for PlayStation 4.","['Action', 'Adventure', 'Fantasy', 'Horror', 'Mystery', 'Thriller']"
Half-Life: Alyx,"A VR game of an impossible fight against a vicious alien race known as the Combine, set between the events of Half-Life and Half-Life 2. Play as Alyx Vance, humanity's only chance for survival.","['Action', 'Adventure', 'Horror', 'Sci-Fi', 'Thriller']"
Planescape: Torment,"In the city of Sigil, the only place from which all realities of the Planescape universe can be reached, an immortal amnesiac, the Nameless One, must uncover his past, the mystery of his immortality as well as who's trying to kill him.","['Adventure', 'Drama', 'Fantasy', 'Mystery']"
The Secret of Monkey Island,"Young pirate wanna-be Guybrush Threepwood sets out to pass the Three Trials, woo the governess Elaine Marley, reach the fabled Monkey Island and vanquish the nefarious ghost pirate LeChuck.","['Adventure', 'Comedy', 'Fantasy']"
Batman: Arkham Collection,"Batman: Arkham Collection brings you the definitive versions of Rocksteady's Arkham Trilogy games, including all post-launch content, in one complete collection.","['Action', 'Adventure']"
Detroit: Become Human,Three androids go on a quest to discover who they really are.,"['Artificial Intelligence', 'Action', 'Adventure', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller']"
Ghost of Tsushima,"Set in 1274 on the Tsushima Island, the last samurai, Jin Sakai, must master a new fighting style, the way of the Ghost, to defeat the Mongol forces and fight for the freedom and independence of Japan.","['One-Person Army Action', 'Period Drama', 'Samurai', 'Action', 'Adventure', 'Drama', 'History', 'War']"
Grand Theft Auto: Vice City,"In 1986, after doing a 15 year prison stint for the Forelli crime family in Liberty City, gangster Tommy Vercetti is sent away to Vice City, Florida to take over the town and rise to the top of the criminal empire.","['Car Action', 'Gangster', 'Action', 'Crime']"
Spider-Man,"When a new villain threatens New York City, Peter Parker and Spider-Man's worlds collide. To save the city and those he loves, he must rise up and be greater.","['Superhero', 'Action', 'Adventure', 'Fantasy', 'Sci-Fi']"
Resident Evil 4,"Six years after the events in Raccoon City, Leon Kennedy, now a federal agent, is sent to a rural part of Spain to rescue the U.S. President's kidnapped daughter, Ashley Graham from a sinister cult.","['Zombie Horror', 'Action', 'Adventure', 'Horror', 'Sci-Fi']"
Silent Hill 2,"Having received a letter from his deceased wife, James heads to where they shared so many memories, in the hope of seeing her one more time: Silent Hill. There, by the lake, he finds a woman eerily similar to her.","['Psychological Horror', 'Action', 'Adventure', 'Drama', 'Fantasy', 'Horror', 'Mystery', 'Romance']"
The Walking Dead: A Telltale Game Series,"In a world devastated by the undead, a convicted criminal is given a second chance at life when he comes across a little girl named Clementine.","['Survival', 'Tragedy', 'Zombie Horror', 'Adventure', 'Animation', 'Drama', 'Horror', 'Thriller']"
Max Payne,"A troubled NYPD cop is framed for murder and finds himself being hunted by the police, the mob, and a ruthless corporation.","['Gangster', 'Gun Fu', 'Hard-boiled Detective', 'One-Person Army Action', 'Psychological Thriller', 'Action', 'Crime', 'Drama', 'Mystery', 'Thriller']"
God of War II,"After being betrayed by the gods of Olympus and annulled of his divine powers, Kratos must embark on a journey to meet the Sisters of Fate and take his revenge on Olympus.","['Sword & Sandal', 'Action', 'Adventure', 'Fantasy']"
Persona 5,A group of high school students create a vigilante group to expose the crimes of corrupt adults but soon find themselves in the midst of a worldwide conspiracy and targeted by powerful individuals who would do anything to silence them.,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Romance']"
P.T.,"The player must navigate a series of continuously looping hallways, solving cryptic puzzles, all while being hunted by a hostile apparition named Lisa.","['Horror', 'Mystery']"
Fallout,"After being sent by the overseer of his vault to search for a new water purifying chip, the player discovers the horrors of post apocalyptic America, and the threat of the Master's Army.","['Dystopian Sci-Fi', 'Action', 'Adventure', 'Sci-Fi']"
Shadow of the Colossus,A young man brings a deceased woman to a forbidden land inhabited by colossal beings said to house the power to revive the dead.,"['Action', 'Adventure', 'Drama', 'Fantasy']"
Castlevania: Symphony of the Night,"In 1797, Shaft manages to regain power through a curse placed on Richter Belmont. Four years later, Dracula's son Alucard awakens from his eternal slumber, intent on destroying his evil father once and for all.","['Dark Fantasy', 'Vampire Horror', 'Action', 'Adventure', 'Fantasy', 'Horror']"
Super Mario World,"While Mario and Luigi are vacationing in Dinosaur Land, Bowser kidnaps the Princess. Mario and his new dino friend Yoshi go on a mission to save her.","['Animal Adventure', 'Dinosaur Adventure', 'Quest', 'Action', 'Adventure', 'Family', 'Fantasy']"
The Walking Dead: The Telltale Definitive Series,The popular award-winning episodic zombie apocalypse game series comes back. All 4 seasons + Michonne Mini-series + 400 Days DLC and some exclusives as a whole. The game is remastered by Skybound Games. The graphics and menus are reworked.,"['Drama', 'Horror', 'Sci-Fi', 'Thriller']"
Uncharted: Legacy of Thieves Collection,Nathan Drake and Chloe Frazer are forced to confront their pasts and forge their own legacies.,"['Action', 'Adventure', 'Drama', 'Mystery', 'Thriller']"
Batman: Return to Arkham,Batman: Return to Arkham thrusts players back into the environments of Arkham Asylum and Arkham City with a remastered graphics engine and all DLC.,"['Superhero', 'Action', 'Adventure', 'Crime', 'Mystery', 'Sci-Fi', 'Thriller']"
Deus Ex,"In a dark cyberpunk future where poverty, disease, oppression and terrorism are widespread, J.C. Denton, a new cybernetically-enhanced special agent, finds evidence of a massive conspiracy when his brother, also an agent, goes rogue.","['Action', 'Adventure', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller']"
Super Mario Bros. 3,"King Koopa has kidnapped Princess Toadstool, taken over all seven kingdoms in the Mushroom World, and put his seven kids in charge of all of them. It's the Mario Brothers to the rescue.","['Quest', 'Action', 'Adventure', 'Family', 'Fantasy']"
Shin Megami Tensei: Persona 4,"A high school student forms a group that explores a hidden world accessible through TV sets to find a connection between the ""realm of shadows"" and the mysterious murders in their town.","['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Mystery']"
The Legend of Zelda: A Link to the Past,"The wizard Agahnim has abducted seven maidens, intent on using their power to open a portal to the Dark World. Armed with a trusty sword and shield, Link begins a great and treacherous journey.","['Action Epic', 'Adventure Epic', 'Fantasy Epic', 'One-Person Army Action', 'Quest', 'Sword & Sorcery', 'Action', 'Adventure', 'Fantasy']"
Kingdom Hearts II: Final Mix+,Sora and friends must set out on another adventure to find his long lost friends and stop Organization XIII.,"['Action', 'Adventure', 'Family', 'Fantasy']"
Kingdom Hearts HD 2.5 Remix,"After the events of Kingdom Hearts HD 1.5 Remix (2013), a boy named Roxas wakes up in Twilight Town trying to make it through his last days of summer vacation when he finds out that his dreams are actually Sora's memories and he must return them to him.","['Action', 'Adventure', 'Family', 'Fantasy']"
Monkey Island 2: LeChuck's Revenge,"Having vanquished the ghost pirate LeChuck with a soft drink, Guybrush Threepwood now seeks the treasure of Big Whoop. During his quest he discovers LeChuck is back from the dead. Once again.","['Adventure', 'Comedy', 'Fantasy']"
The Legend of Zelda: Ocarina of Time 3D,"In this update to Nintendo's classic adventure game, a young man named Link must gather the three Spiritual Stones and awaken the Seven Sages in order to overthrow Ganondorf, a tyrannical warlock terrorizing the land of Hyrule.","['Action', 'Adventure', 'Family', 'Fantasy']"
Kingdom Hearts HD 1.5 + 2.5 Remix,A re-release of Kingdom Hearts HD 1.5 Remix and Kingdom Hearts HD 2.5 Remix on the Playstation 4.,"['Action', 'Adventure', 'Family', 'Fantasy']"
The Orange Box,"The Orange Box is a collection of five games. Half life 2, Half life 2: Episode 1, Half life 2: Episode 2, Team Fortress 2 and Portal.","['Action', 'Adventure', 'Comedy', 'Horror', 'Sci-Fi', 'Thriller']"
Metal Gear Solid: Integral,"Expanded version of the original ""Metal Gear Solid"" in which a crack government anti-terrorist squad takes over an obscure Alaskan nuclear disposal facility and agent Solid Snake infiltrates the facility. Contains all VR missions.","['Action', 'Adventure', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller']"
Metal Gear Solid: HD Collection,"HD remasters of Metal Gear Solid 2: Sons of Liberty, Metal Gear Solid 3: Snake Eater, and Metal Gear Solid: Peace Walker. Also included is the original Metal Gear and Metal Gear 2: Solid Snake.","['Action', 'War']"
Spider-Man 2,"Spider-Men, Peter Parker and Miles Morales, return for an exciting new adventure in the critically acclaimed Marvel's Spider-Man franchise.","['Superhero', 'Action', 'Adventure', 'Crime', 'Fantasy', 'Sci-Fi']"
Final Fantasy VII Rebirth,"Leaving Midgar behind and freed from the course of destiny, Cloud and his friends embark on a new journey across the planet of Gaia, as dangerous threats, old and new, await them.","['Action', 'Adventure', 'Drama', 'Fantasy', 'Sci-Fi']"
It Takes Two,"The clashing couple Cody and May are turned into dolls by a magic book. Together, trapped in a fantastical world where the unpredictable hides around every corner, they are reluctantly challenged with saving their fractured relationship.","['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Romance']"
Mass Effect,"In a technologically advanced future, an elite human soldier takes command of a prototype star ship and works to defend the galaxy from danger.","['Action', 'Adventure', 'Drama', 'Sci-Fi']"
Batman: Arkham Asylum,"Batman battles his archenemy, the Joker, who instigates an elaborate plot to seize control of Arkham Asylum, trap Batman inside with many of his incarcerated foes, and threaten Gotham City with hidden bombs.","['Psychological Thriller', 'Superhero', 'Action', 'Crime', 'Mystery', 'Sci-Fi', 'Thriller']"
Mass Effect 3,"Earth is under attack by a monstrous race of gigantic living ships known as the Reapers. Even if Commander Shepard could unite all surviving species in the galaxy, only a miracle could save them. Then again, Shepard did come back from the dead.","['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Mystery', 'Romance', 'Sci-Fi', 'Thriller', 'War']"
God of War III,"Armed with his deadly double-chained blades, Kratos must take on Greek mythology's darkest creatures to destroy Olympus and the mighty Zeus himself.","['Sword & Sandal', 'Action', 'Adventure', 'Fantasy']"
BioShock,"In 1960, a lone survivor of a plane crash named Jack discovers an abandoned underwater utopia, only to find out that the mystery behind its creation is much more sinister than he first believed.","['Action', 'Adventure', 'Horror', 'Mystery', 'Sci-Fi', 'Thriller']"
BioShock Infinite,"A man is sent to the flying city of Columbia to find a missing girl. However, upon arrival he discovers that the city, its people, and his objective are all not what they seem.","['Action', 'Adventure', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller']"
Max Payne 2: The Fall of Max Payne,"The brooding cop has left the DEA and returned to the NYPD. When his latest case ends up involving the thought-dead femme fatale Mona Sax, he finds that his journey through the night is far from over.","['Gangster', 'Gun Fu', 'Hard-boiled Detective', 'One-Person Army Action', 'Psychological Thriller', 'Action', 'Crime', 'Drama', 'Mystery', 'Thriller']"
Kingdom Hearts,"When his world is destroyed and his friends mysteriously disappear, a young boy named Sora is thrust into a quest to find his missing friends and prevent the armies of darkness from destroying many other worlds.","['Fantasy Epic', 'Action', 'Adventure', 'Family', 'Fantasy']"
Dragon Age: Origins,"After four hundred years since the last Blight, a new Archdemon seeks to destroy the land of Ferelden. It is up to the player - as one of the remaining Grey Wardens - to unite the divided armies of Ferelden and save humanity.","['Dark Fantasy', 'Action', 'Adventure', 'Fantasy', 'Mystery', 'Romance', 'Sci-Fi', 'War']"
Disco Elysium,You're a detective tasked with solving a murder in the strange world of Elysium. Utilize a new and innovative skill system to be the detective you want to be. Become a hero or an absolute disaster of a human being.,"['Comedy', 'Crime', 'Drama', 'Fantasy', 'Mystery']"
Dark Souls III,"The fire is fading. Darkness creeps across the land. The Lords of Cinder charged with watching over the First Flame have abandoned their thrones. The Champion of Ash, an undead is chosen to return them to their thrones.","['Action', 'Adventure', 'Fantasy']"
Final Fantasy X,A celebrated young athlete is drawn from his futuristic hometown and convenient lifestyle to a harsh and techno-phobic land by a mysterious force only known as Sin.,"['Adventure', 'Fantasy', 'Romance', 'Sci-Fi']"
Dark Souls,"After narrowly escaping a doomed fate in an asylum, an undead warrior fights his way through the desolate remains of Lordran, once a sprawling utopia lead by the gods, to seek his purpose and fulfill a centuries old prophecy.","['Dark Fantasy', 'Action', 'Adventure', 'Fantasy', 'Horror']"
Mafia: The City of Lost Heaven,You play a 1930s mobster as you act out your confession of your rise in the ranks of organized crime.,"['Action', 'Crime', 'Drama']"
Half-Life,Dr. Gordon Freeman must fight his way out of a secret research facility after a teleportation experiment goes disastrously wrong.,"['Action', 'Horror', 'Sci-Fi', 'Thriller']"
Super Mario 64,"When the evil Bowser steals 120 power stars and traps Princess Peach within the walls of her own castle, it's up to Mario to save her once again.","['Adventure Epic', 'Fantasy Epic', 'Quest', 'Quirky Comedy', 'Slapstick', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy']"
Super Mario Odyssey,Mario must travel to worlds unknown in order to stop Bowser from marrying Princess Peach.,"['Adventure Epic', 'Fantasy Epic', 'Globetrotting Adventure', 'Sci-Fi Epic', 'Space Sci-Fi', 'Action', 'Adventure', 'Family', 'Fantasy', 'Sci-Fi']"
Mob of the Dead,"Mob of the Dead, featured in the DLC pack Uprising for Call of Duty: Black Ops II (2012) introduces a main Zombies map set in Alcatraz Prison around the 1930's.","['Action', 'Horror', 'Thriller']"
Resident Evil 2,"Two months after the mansion events, the deadly T-virus escapes into the streets of Raccoon City. Leon Kennedy and Claire Redfield find the police office left abandoned. In an underground facility the story of Umbrella Corp. gets unfolded.","['Action', 'Horror', 'Sci-Fi', 'Thriller']"
Portal,A test subject wakes up in a scientific facility controlled by a sadistic artificial intelligence and must escape with the help of the only instrument she has--a gun that makes portals.,"['Artificial Intelligence', 'Adventure', 'Comedy', 'Sci-Fi']"
Disco Elysium - The Final Cut,"You're a detective with a unique skill system at your disposal and a whole city to carve your path across. Interrogate unforgettable characters, crack murders or take bribes. Become a hero or an absolute disaster of a human being.","['Comedy', 'Crime', 'Drama', 'Fantasy', 'Mystery']"
Super Mario Galaxy,"When Princess Peach is abducted as part of Bowser's galaxy creation scheme, stalwart plumber Mario must leap to her rescue, with the help of new celestial friends and powers.","['Adventure Epic', 'Fantasy Epic', 'Sci-Fi Epic', 'Space Sci-Fi', 'Action', 'Adventure', 'Family', 'Fantasy', 'Sci-Fi']"
GoldenEye 007,James Bond must track down agent-turned-terrorist Alec Trevelyan to stop the launch of a powerful satellite. Play the game that set the stage for the First-person shooter genre on the console.,"['Action', 'Adventure', 'Thriller']"
Final Fantasy VI,A mysterious woman joins a group of mercenaries in order to find out about her destiny and means of saving the world from an evil madman.,"['Action', 'Adventure', 'Drama', 'Family', 'Fantasy', 'Sci-Fi']"
Grim Fandango,Manuel Calavera is a travel agent in The Land of the Dead who has stumbled across a ring of corruption.,"['Dark Comedy', 'Adventure', 'Comedy', 'Crime', 'Fantasy', 'Mystery']"
StarCraft,"In 2499 in the Koprulu sector, a ferocious collective race known as the Zerg arrives to massacre the exiled human colonies while a highly advanced race, the Protoss, intervenes to exterminate the Zerg.","['Action', 'Adventure', 'Sci-Fi', 'War']"
Half-Life 2: Episode Two,"Gordon Freeman, along with the help of human and non-human allies, continues his fight against the ruthless alien force known as the Combine.","['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
Mother 3,"A young boy from the island of Tazmily must defeat a familiar enemy and his many cohorts, meeting many new friends along the way.","['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Sci-Fi']"
Mass Effect 3: Citadel,"Commander Shepard and the crew of the Normandy SR-2 Starship on shore leave, where they must uncover the truth surrounding a conspiracy against Shepard.","['Action', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi']"
Vampire: The Masquerade - Bloodlines,"Beginning your journey as a new Kindred, you must choose your path to follow the high class Vampire Society, or the lawbreaking group of Anarchs as you find your place in this new world.","['Action', 'Drama', 'Fantasy', 'Horror', 'Mystery', 'Thriller']"
The Curse of Monkey Island,"After unwittingly turning his true love Elaine into solid gold with a cursed engagement ring, Guybrush Threepwood must find a map, a ship and a crew, sail to Blood Island and track down an uncursed diamond ring to reverse the curse.","['Action', 'Adventure', 'Animation', 'Comedy', 'Fantasy', 'Horror', 'Romance']"
Super Metroid,Samus Aran returns to the brooding planet Zebes to recover the last metroid from the Space Pirates.,"['Space Sci-Fi', 'Superhero', 'Action', 'Adventure', 'Horror', 'Mystery', 'Sci-Fi', 'Thriller']"
Gothic II,"Rescued from the ruins of the temple of the sleeper, the nameless hero faces another great challenge when Beliar, one of the three gods, summons a tremendous army in the mine valley.","['Action', 'Adventure', 'Fantasy']"
Bioshock: The Collection,"The complete, critically-acclaimed Bioshock trilogy, consisting of Bioshock (2007), Bioshock 2 (2010) and Bioshock Infinite (2013).","['Action', 'Adventure', 'Horror', 'Mystery', 'Sci-Fi', 'Thriller']"
Dark Souls III: The Ringed City,"In the second expansion of ""Dark Souls III (2016)"", conceived as a conclusion to the series, the Ashen One traverses the Earthen Peak from ""Dark Souls II (2014)"" before fighting the last Demon Prince in the Firelink Shrine from ""Dark Souls (2011)"".","['Action', 'Adventure', 'Fantasy']"
Star Control 2,"In the early 22nd century, a lone starship returns to Earth to discover that it has been conquered by a race of alien slavers known as the Ur-Quan. Its crew embarks on a galaxy-wide quest to rekindle old alliances and overthrow the Ur-Quan once and for all.","['Action', 'Adventure', 'Sci-Fi']"
Suikoden II,"Three years after the Gate Rune War, the 108 Stars of Destiny once again gather to protect the City-State of Jowston from the invading Kingdom of Highland, led by the demonic Luca Blight.","['Action', 'Adventure', 'Drama', 'Fantasy']"
X-COM: UFO Defense,"Because aliens are attempting to invade the Earth, you will have to command X-com, an international organisation to fight the alien invasion. By shooting down UFO's and recovering information from the crash sites, you can research alien technology.","['Action', 'Sci-Fi', 'Thriller']"
Indiana Jones and the Great Circle,"Uncover one of history's greatest mysteries in Indiana Jones and the Great Circle, a first-person, single-player adventure set between the events of Raiders of the Lost Ark and The Last Crusade.","['Globetrotting Adventure', 'Action', 'Adventure']"
Batman: Arkham Knight,"With his back against the wall, Batman turns to his closest allies to help him save Gotham City from the clutches of Scarecrow and the Arkham Knight's army. A familiar face also returns to give The Dark Knight a message he cannot ignore.","['Psychological Thriller', 'Superhero', 'Action', 'Crime', 'Mystery', 'Sci-Fi', 'Thriller']"
God of War,"After 10 years of endless nightmares and servitude to the gods of Olympus, Kratos is assigned with a final task, to kill Ares, the God of War.","['Sword & Sandal', 'Action', 'Adventure', 'Fantasy']"
Resident Evil 2,"Re-imagining of Resident Evil 2 (1998), with a third-person over-the-shoulder view, new details, rearranged and new areas, no more loading screen doors, new puzzle solving opportunities, a gunpowder crafting mechanic and more.","['Action', 'Adventure', 'Horror', 'Sci-Fi', 'Thriller']"
Persona 3 Reload,"A modern day remake of Persona 3 (2006). A team of high school students with supernatural powers investigate the Dark Hour, a hidden 25th hour of the day where shadowy monsters roam and attack people, leaving them as soulless husks.","['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance']"
